"record_id","legacy_archive_id","current_title_jp","match_count","matched_mofa_material_ids","matched_titles_jp","status","error"
"legacy_2019_0768","2019-0768","イラン・イラク問題","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_0899","2014-0899","トルコ外交","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2016_0063","2016-0063","西独外交","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2009_0721","2009-0721","中国・諸外国間貿易協定","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2013_3130","2013-3130","中共貿易/統計，資料（含、対日関係）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2013_3131","2013-3131","中共対外経済援助","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2010_1116","2010-1116","国連","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2010_5183","2010-5183","国連","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_4131","2014-4131","国連代表権問題/中共","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_4133","2014-4133","国連代表権問題/中共","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_2744","2014-2744","国連中国代表権問題/中共（各国の態度）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2015_2086","2015-2086","国連中国代表権問題/中共（各国の態度）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2015_2085","2015-2085","国連代表権問題/中共（アジア、中近東、アフリカ諸国の態度）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2018_0965","2018-0965","国連に関する日・諸外国協議","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2010_1215","2010-1215","国連第30回総会","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_3472","2014-3472","国連 カンボディア問題国際会議","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2011_0193","2011-0193","UNCTAD第三回総会","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_4153","2014-4153","諸外国国防・軍事","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2010_4088","2010-4088","日韓経済協力案件（国別経済協力）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2012_3234","2012-3234","フランス・中共外交関係樹立","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2017_0657","2017-0657","日ソ関係（第8回ソ連に関する日米非公式協議）","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"legacy_2014_4226","2014-4226","河本通商産業大臣サウディ・アラビア、エジプト、イラク訪問","0","","","ERROR","Exception calling ""UploadString"" with ""3"" argument(s): ""The remote server returned an error: (403) Forbidden."""
